occurrence_id,reported_timestamp,arrival_timestamp,resolved_timestamp,occurrence_category,occurrence_subcategory,priority,applicant_name,applicant_role,latitude,longitude
019b19c2-848f-7512-b8ab-1ff6b8ecfcec,1765652936.975256,,1765652937.13751,other,motorcycle_crash,medium,USER Hl56bl,analyst,13.91404524111024,20.94659904485866
019b19c2-848d-79e4-9eb2-e42def9e1183,1765652936.973554,,1765652937.136684,medic_emergency,flood,medium,USER JGvsRq,admin,75.46238744985249,55.68477734190456
019b19c2-848b-7ffa-b743-89c59a365790,1765652936.971928,,,other,flood,medium,USER MAjvvG,sargeant,94.08635957538604,99.96992679730359
019b19c2-848a-754f-b653-ba4af3b1850d,1765652936.970256,,1765652937.135146,fire,intoxication,medium,USER ZatkiU,sargeant,29.0295578132291,85.52474673868548
019b19c2-8488-7a2e-9059-eca586eb7886,1765652936.96857,,,fire,rollover,low,USER keHTBy,analyst,26.17192183547308,86.34152414007482
019b19c2-8486-7f37-8889-f41a78bb02d2,1765652936.966882,,,fire,rollover,low,USER Qn4pbj,captain,65.2314047641187,75.7476819536569
019b19c2-8484-7eb4-accb-41594ddb6a77,1765652936.964828,,,other,vegetation,low,USER BXGrQQ,admin,85.12092482622474,93.14545071984845
019b19c2-8482-7c58-bf2d-a75119e79540,1765652936.962672,,1765652937.132197,medic_emergency,run_over,low,USER J8G-Dg,firefighter,48.139046454813794,23.455542014276364
019b19c2-8480-7840-bfdc-46ad657d27b2,1765652936.960423,,1765652937.131414,medic_emergency,motorcycle_crash,medium,USER JGvsRq,admin,16.711523001382645,14.647306392426396
019b19c2-847e-73ea-b250-dbd71dc12903,1765652936.95817,,1765652937.130647,traffic_accident,motorcycle_crash,high,USER u3geQ_,firefighter,10.464634057154276,54.92085531115006
019b19c2-847c-7934-a556-01c7c6c51cab,1765652936.956508,,,fire,serious_injury,low,USER LkNVUa,developer,78.55513055597673,18.94620476621509
019b19c2-847a-7e56-9af8-930de43f4a47,1765652936.954828,,,other,vegetation,low,USER eP_0-u,admin,24.34044165206892,14.225694454373162
019b19c2-8479-7292-8caf-008d3009ecaa,1765652936.95308,,,other,collision,low,USER RAeRBK,firefighter,68.6743696039259,31.35414528798791
019b19c2-8476-7b88-805a-9153f3dca282,1765652936.950632,,1765652937.126718,other,heart_stop,medium,USER G60L1D,sargeant,82.74263351329353,15.891079608033698
019b19c2-8474-777e-a22d-9daefdef6572,1765652936.948404,,,medic_emergency,serious_injury,low,USER RSNyHB,analyst,18.182535618158667,18.780908594953395
019b19c2-8472-7c4f-bcf8-75dd7b8a3fa4,1765652936.946695,,,traffic_accident,run_over,high,USER Ge4xyR,developer,57.321013501874496,5.2394649527461095
019b19c2-8471-716b-8aef-3942e25e4f12,1765652936.945021,,,fire,tree_crash,medium,USER 32uPjb,sargeant,83.2801049159163,19.45943281278062
019b19c2-846f-74c7-be93-6be88352ccdc,1765652936.943224,,1765652937.123516,other,seizure,medium,USER haCmIU,firefighter,44.98161635357045,13.98209207202844
019b19c2-846d-76ec-9c66-da1ba3b345a6,1765652936.941367,,,other,pre_hospital_care,low,USER sHp3Fb,captain,65.51592162468259,73.21903424754855
019b19c2-846b-7bff-89bc-89aac5fd0a8b,1765652936.939685,,1765652937.121893,fire,injured_animal,medium,USER aKzWrx,analyst,42.97668175454083,23.658392097563397
019b19c2-8469-7f87-87ab-3c7193b75512,1765652936.937907,,,traffic_accident,vehicle,low,USER G60L1D,sargeant,11.476301010316725,41.053566089292794
019b19c2-8468-749a-802f-4122a4142066,1765652936.936223,,,traffic_accident,flood,low,USER PYtXiQ,sargeant,20.300934948750495,38.32510812708184
019b19c2-8466-7933-ace5-ce1c9f15fe58,1765652936.934506,,1765652937.119627,other,rollover,high,USER 4U4VFI,analyst,57.88598674754037,20.954091453068678
